State	District	First Name	Last Name	Party	Votes	Vote fraction	Winner
ID	S	Kevin	Volkmann	W(D)/W	3	0.00000	
ID	S	Rex	Rammell	I	34510	0.05352	
ID	S	Kent A.	Marmon	LBT	9958	0.01544	
ID	S		Pro-Life	I	8662	0.01343	
IL	01	Bobby L.	Rush	D	233036	0.85865	
IL	01	Antoine	Members	R	38361	0.14135	
IL	02	Jesse L., Jr.	Jackson	D	251052	0.89414	
IL	02	Anthony W.	Williams	R	29721	0.10585	
IL	02	Nathan	Peoples	W	3	0.00001	
IL	03	Daniel William	Lipinski	D	172581	0.73275	
IL	03	Michael	Hawkins	R	50336	0.21372	
IL	03	Jerome	Pohlen	GRE	12607	0.05353	
IL	04	Luis V.	Gutierrez	D	112529	0.80605	
IL	04	Daniel	Cunningham	R	16024	0.11478	
IL	04	Omar N.	López	GRE	11053	0.07917	
IL	05	Rahm	Emanuel	D	170728	0.73943	
IL	05	Tom	Hanson	R	50881	0.22037	
IL	05	Alan	Augustson	GRE	9283	0.04020	
IL	06	Peter J.	Roskam	R	147906	0.57570	
IL	06	Jill	Morgenthaler	D	109007	0.42430	
IL	07	Danny K.	Davis	D	235343	0.85018	
IL	07	Steve	Miller	R	41474	0.14982	
IL	08	Melissa	Bean	D	179444	0.60720	
IL	08	Steve	Greenberg	R	116081	0.39280	
IL	09	Janice D.	Schakowsky	D	181948	0.74662	
IL	09	Michael Benjamin	Younan	R	53593	0.21992	
IL	09	Morris	Shanfield	GRE	8140	0.03340	
IL	09	Susanne	Atanus	W	13	0.00005	
IL	10	Mark Steven	Kirk	R	153082	0.52559	
IL	10	Daniel J.	Seals	D	138176	0.47441	
IL	11	Deborah "Debbie"	Halvorson	D	185652	0.58400	
IL	11	Marty	Ozinga	R	109608	0.34479	
IL	11	Jason M.	Wallace	GRE	22635	0.07120	
IL	12	Jerry F.	Costello	D	212891	0.71397	
IL	12	Timmy Jay, Jr.	Richardson	R	74382	0.24945	
IL	12	Rodger W.	Jennings	GRE	10907	0.03658	
IL	12	Harold	Wiegand	W	1	0.00000	
IL	13	Judy	Biggert	R	180888	0.53553	
IL	13	Scott	Harper	D	147430	0.43648	
IL	13	Steve	Alesch	GRE	9402	0.02784	
IL	13	Theodore	Knapp	W	51	0.00015	
IL	14	Bill	Foster	D	185404	0.57748	
IL	14	Jim	Oberweis	R	135653	0.42252	
IL	15	Timothy V.	Johnson	R	187121	0.64189	
IL	15	Steve	Cox	D	104393	0.35811	
IL	16	Donald A.	Manzullo	R	190039	0.60867	
IL	16	Robert G.	Abboud	D	112648	0.36080	
IL	16	Scott	Summers	GRE	9533	0.03053	
IL	17	Phil	Hare	D	220961	0.99767	
IL	17	Mark Edward	Lioen	W	517	0.00233	
IL	18	Aaron	Schock	R	182589	0.58883	
IL	18	Colleen	Callahan	D	117642	0.37938	
IL	18	Sheldon	Schafer	GRE	9857	0.03179	
IL	19	John M.	Shimkus	R	203434	0.64462	
IL	19	Daniel	Davis	D	105338	0.33378	
